Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,StreamingServices,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Age,Married,Number of Referrals,Avg Monthly GB Download,Premium Tech Support,Unlimited Data,Churn
Yes,31.0,Yes,No,No,No,No,No,No,No,Two year,No,eSewa,630.0,60,Yes,3,0,No,No,0
No,7.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,582.0,63,No,0,0,No,No,0
Yes,34.0,Yes,Yes,DSL,No,Yes,No,Yes,No,One year,No,Mobile Banking,2316.0,23,Yes,0,52,No,Yes,0
No,3.0,Yes,No,No,No,No,No,No,No,One year,Yes,eSewa,583.5,33,No,0,0,No,No,0
Yes,19.0,No,No,DSL,No,No,No,No,No,Month-to-month,Yes,eSewa,745.5,21,Yes,4,85,No,Yes,0
No,3.0,No,No,DSL,Yes,No,No,Yes,Yes,Month-to-month,No,eSewa,1240.5,32,No,0,25,Yes,Yes,0
No,46.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,Cash,588.0,59,Yes,3,0,No,No,0
Yes,69.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,One year,No,Mobile Banking,2533.5,47,Yes,7,16,No,No,0
No,5.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,607.5,31,No,0,0,No,No,0
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mobile Banking,589.5,20,No,0,0,No,No,0
No,26.0,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),619.5,28,No,0,0,No,No,0
No,25.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Two year,No,Mobile Banking,2979.0,21,No,0,51,Yes,Yes,0
Yes,64.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,Month-to-month,No,Cash,2431.5,47,Yes,4,12,No,Yes,0
Yes,30.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Month-to-month,No,Cash,2028.0,31,Yes,4,19,Yes,Yes,0
No,13.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2104.5,53,No,0,10,No,No,0
No,64.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,One year,Yes,Cash,3450.0,37,Yes,1,29,Yes,Yes,0
Yes,46.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Mobile Banking,2544.0,28,No,0,59,Yes,Yes,0
No,12.0,Yes,No,No,No,No,No,No,No,One year,No,eSewa,591.0,57,No,0,0,No,No,0
Yes,13.0,Yes,No,DSL,Yes,Yes,No,Yes,No,Month-to-month,Yes,eSewa,1894.5,40,Yes,3,25,No,Yes,0
Yes,67.0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),2220.0,49,Yes,5,16,Yes,Yes,0
No,24.0,No,No,DSL,No,No,No,Yes,No,Month-to-month,No,Cash,873.0,25,Yes,4,51,No,Yes,0
No,6.0,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,No,eSewa,1501.5,37,No,0,13,Yes,No,0
No,10.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,Cash,600.0,27,No,0,0,No,No,0
No,13.0,Yes,No,Fiber optic,No,No,Yes,No,No,One year,Yes,eSewa,2239.5,39,No,0,15,No,Yes,0
No,7.0,No,No,DSL,No,Yes,Yes,No,Yes,Month-to-month,Yes,Cash,1332.0,75,No,0,26,Yes,Yes,0
Yes,38.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Two year,Yes,Mobile Banking,2562.0,26,Yes,6,59,Yes,Yes,0
No,43.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Month-to-month,Yes,Cash,2823.0,33,Yes,9,11,No,Yes,0
No,25.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,No,Cash,3267.0,20,No,0,51,Yes,Yes,0
Yes,27.0,Yes,No,DSL,Yes,No,Yes,No,No,One year,No,eSewa,1686.0,19,No,0,59,No,No,0
Yes,72.0,Yes,Yes,No,No,No,No,No,No,Two year,No,eSewa,783.0,61,Yes,2,0,No,No,0
Yes,71.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),2563.5,19,No,0,30,No,Yes,0
No,24.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),2668.5,63,No,0,9,No,Yes,0
No,57.0,Yes,No,DSL,Yes,Yes,No,Yes,No,Two year,Yes,Mobile Banking,2230.5,30,No,0,42,No,Yes,0
No,15.0,Yes,No,DSL,No,No,Yes,No,No,Month-to-month,No,Cash,1465.5,34,No,0,23,No,Yes,0
No,4.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Cash,2403.0,27,No,0,82,No,Yes,0
No,28.0,Yes,No,DSL,Yes,No,Yes,No,No,Month-to-month,No,Cash,1681.5,51,No,0,15,No,No,0
No,55.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Month-to-month,Yes,Mobile Banking,2694.0,37,Yes,2,9,No,Yes,0
Yes,55.0,Yes,No,No,No,No,No,No,No,One year,No,Mobile Banking,573.0,53,No,0,0,No,No,0
Yes,20.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,610.5,58,Yes,9,0,No,No,0
Yes,62.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),3181.5,47,Yes,8,23,Yes,Yes,0
No,43.0,Yes,No,No,No,No,No,No,No,Two year,Yes,Mobile Banking,589.5,44,No,0,0,No,No,0
No,60.0,Yes,No,DSL,Yes,No,Yes,No,Yes,Two year,No,Mobile Banking,1795.5,49,Yes,7,21,Yes,Yes,0
No,58.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Two year,Yes,Cash,2583.0,38,Yes,3,2,No,No,0
Yes,7.0,Yes,No,No,No,No,No,No,No,One year,No,eSewa,583.5,47,No,0,0,No,No,0
Yes,2.0,Yes,No,Fiber optic,Yes,Yes,No,No,No,Month-to-month,No,Cash,2913.0,40,Yes,10,24,No,Yes,0
No,37.0,No,No,DSL,No,No,Yes,Yes,No,Month-to-month,No,Cash,1099.5,75,No,0,29,No,Yes,0
Yes,65.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,One year,Yes,Mobile Banking,3117.0,76,Yes,8,27,Yes,Yes,0
Yes,39.0,Yes,No,No,No,No,No,No,No,Two year,No,eSewa,592.5,40,Yes,6,0,No,No,0
No,68.0,Yes,Yes,No,No,No,No,No,No,Two year,No,eSewa,736.5,20,No,0,0,No,No,0
Yes,62.0,No,No,DSL,Yes,Yes,Yes,No,Yes,Two year,No,Mobile Banking,1461.0,32,Yes,6,26,Yes,No,0
No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Two year,Yes,Cash,3286.5,34,Yes,9,2,No,Yes,0
No,41.0,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),619.5,40,Yes,9,0,No,No,0
No,4.0,Yes,No,DSL,Yes,No,Yes,No,No,Month-to-month,No,Cash,1656.0,64,No,0,17,No,Yes,0
No,53.0,Yes,Yes,No,No,No,No,No,No,One year,No,Mobile Banking,721.5,34,No,0,0,No,No,0
No,39.0,Yes,No,No,No,No,No,No,No,Two year,Yes,Mobile Banking,613.5,39,Yes,10,0,No,No,0
No,63.0,Yes,No,No,No,No,No,No,No,Two year,No,eSewa,577.5,57,Yes,9,0,No,No,0
No,15.0,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Cash,790.5,48,No,0,0,No,No,0
No,13.0,Yes,No,DSL,No,No,No,No,No,One year,No,Cash,1314.0,34,Yes,1,2,No,Yes,0
No,1.0,Yes,No,DSL,No,No,Yes,No,No,Month-to-month,Yes,eSewa,1504.5,45,No,0,16,No,Yes,0
No,1.0,Yes,No,No,No,No,No,No,No,Two year,No,eSewa,613.5,37,No,0,0,No,No,0
No,60.0,Yes,No,DSL,Yes,No,Yes,Yes,No,Two year,No,Cash,1842.0,24,No,0,26,No,Yes,0
No,40.0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),2122.5,33,Yes,0,22,Yes,Yes,0
No,66.0,Yes,No,DSL,Yes,No,Yes,Yes,No,Two year,Yes,Mobile Banking,1834.5,25,No,0,30,No,Yes,0
Yes,42.0,Yes,No,No,No,No,No,No,No,One year,No,eSewa,607.5,57,Yes,4,0,No,No,0
No,66.0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),1915.5,72,No,0,5,Yes,Yes,0
No,49.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,No,Cash,2961.0,56,No,0,27,No,Yes,0
No,41.0,Yes,No,No,No,No,No,No,No,Two year,No,eSewa,600.0,23,No,0,0,No,No,0
Yes,41.0,Yes,No,No,No,No,No,No,No,Two year,No,Mobile Banking,579.0,34,Yes,1,0,No,No,0
Yes,23.0,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Month-to-month,No,eSewa,2532.0,19,Yes,5,82,Yes,Yes,0
No,3.0,No,No,DSL,No,No,No,No,No,Month-to-month,No,Cash,753.0,28,No,0,69,No,Yes,0
No,4.0,No,No,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,No,eSewa,1447.5,19,No,0,30,Yes,No,0
Yes,52.0,Yes,No,No,No,No,No,No,No,Two year,No,eSewa,595.5,27,Yes,1,0,No,No,0
No,11.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Cash,2826.0,54,No,0,4,Yes,Yes,0
No,2.0,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,Yes,eSewa,1864.5,59,Yes,6,24,No,Yes,0
No,26.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,No,Mobile Banking,2379.0,50,Yes,5,10,No,Yes,0
Yes,24.0,Yes,No,DSL,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),1687.5,33,Yes,7,53,No,Yes,0
No,12.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,609.0,26,No,0,0,No,No,0
No,60.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Cash,2970.0,69,Yes,5,5,Yes,No,0
Yes,64.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,eSewa,2718.0,44,Yes,3,19,Yes,Yes,0
No,66.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mobile Banking,2577.0,42,Yes,2,10,Yes,Yes,0
No,60.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,One year,Yes,Mobile Banking,2376.0,24,No,0,48,No,Yes,0
Yes,17.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,One year,Yes,Mobile Banking,2110.5,36,Yes,5,76,No,Yes,0
Yes,42.0,Yes,No,No,No,No,No,No,No,Two year,No,eSewa,580.5,63,Yes,10,0,No,No,0
No,1.0,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,Yes,Cash,1504.5,42,No,0,2,No,Yes,0
Yes,47.0,Yes,No,DSL,No,Yes,Yes,No,Yes,Two year,No,Mobile Banking,1914.0,32,Yes,0,57,Yes,No,0
No,10.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,616.5,27,Yes,2,0,No,No,0
No,70.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),2656.5,69,Yes,4,8,Yes,Yes,0
No,67.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),3042.0,76,No,0,19,No,Yes,0
No,1.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,No,eSewa,1338.0,45,No,0,2,No,Yes,0
No,4.0,Yes,No,DSL,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mobile Banking,1912.5,53,No,0,11,Yes,Yes,0
Yes,66.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Two year,No,Mobile Banking,3277.5,61,Yes,2,25,No,No,0
No,12.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,2538.0,31,No,0,25,No,Yes,0
No,24.0,Yes,No,No,No,No,No,No,No,One year,No,Credit card (automatic),613.5,25,No,0,0,No,No,0
No,26.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,2572.5,48,No,0,13,No,Yes,0
No,57.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Two year,No,Cash,3238.5,31,Yes,2,29,Yes,Yes,0
Yes,42.0,Yes,Yes,No,No,No,No,No,No,Two year,No,Cash,688.5,47,Yes,1,0,No,No,0
No,64.0,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),583.5,25,Yes,4,0,No,No,0
No,19.0,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),591.0,62,No,0,0,No,No,0
No,22.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Mobile Banking,2610.0,56,Yes,9,18,No,Yes,0
No,12.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Mobile Banking,2398.5,23,No,0,41,No,Yes,0
No,31.0,Yes,No,DSL,Yes,Yes,No,No,Yes,One year,Yes,Cash,1920.0,55,Yes,9,15,Yes,Yes,0
No,11.0,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,Cash,1947.0,42,No,0,17,No,Yes,0
Yes,68.0,Yes,Yes,No,No,No,No,No,No,Two year,No,eSewa,772.5,36,Yes,10,0,No,No,0
Yes,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mobile Banking,2704.5,78,Yes,2,16,Yes,Yes,0
No,67.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),3483.0,68,No,0,29,Yes,No,0
No,60.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mobile Banking,3148.5,30,No,0,48,Yes,Yes,0
Yes,58.0,No,No,DSL,Yes,Yes,Yes,Yes,No,One year,No,eSewa,1500.0,21,Yes,9,52,No,Yes,0
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,613.5,32,No,0,0,No,No,0
No,37.0,Yes,No,No,No,No,No,No,No,One year,Yes,Mobile Banking,595.5,54,Yes,8,0,No,No,0
No,13.0,Yes,No,No,No,No,No,No,No,One year,Yes,Cash,598.5,34,No,0,0,No,No,0
No,43.0,Yes,Yes,No,No,No,No,No,No,Two year,No,Mobile Banking,793.5,39,No,0,0,No,No,0
No,6.0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,eSewa,1902.0,21,No,0,52,Yes,No,0
No,71.0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Mobile Banking,1618.5,46,No,0,20,Yes,Yes,0
Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Two year,Yes,Cash,2853.0,39,Yes,8,19,No,Yes,0
No,6.0,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Cash,2223.0,65,No,0,20,No,Yes,0
Yes,12.0,No,No,DSL,No,No,Yes,No,Yes,Month-to-month,No,eSewa,1065.0,19,Yes,7,73,Yes,Yes,0
No,21.0,Yes,No,Fiber optic,No,No,No,Yes,Yes,One year,No,Cash,2376.0,49,Yes,7,20,Yes,Yes,0
Yes,6.0,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,Yes,eSewa,1464.0,39,Yes,3,10,Yes,Yes,0
No,43.0,Yes,No,DSL,No,No,Yes,No,Yes,One year,No,Cash,1663.5,38,No,0,19,Yes,No,0
Yes,35.0,Yes,Yes,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),762.0,53,Yes,9,0,No,No,0
No,32.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,2805.0,78,Yes,9,3,No,Yes,0
No,52.0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),1917.0,57,No,0,18,Yes,Yes,0
No,32.0,Yes,No,DSL,No,Yes,No,No,No,One year,Yes,Mobile Banking,1945.5,43,No,0,12,No,Yes,0
Yes,72.0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mobile Banking,1914.0,61,Yes,8,22,Yes,Yes,0
No,51.0,No,No,DSL,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1333.5,31,No,0,2,Yes,Yes,0
Yes,68.0,Yes,No,No,No,No,No,No,No,Two year,Yes,Mobile Banking,598.5,47,Yes,4,0,No,No,0
No,8.0,No,No,DSL,No,Yes,Yes,Yes,No,Month-to-month,Yes,eSewa,1300.5,67,Yes,1,27,No,Yes,0
No,49.0,No,No,DSL,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),1489.5,22,Yes,8,27,No,Yes,0
No,72.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,eSewa,2553.0,24,Yes,7,41,Yes,Yes,0
No,54.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,No,eSewa,2694.0,55,No,0,24,No,Yes,0
Yes,50.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,One year,No,eSewa,3091.5,41,Yes,7,27,Yes,Yes,0
No,69.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Cash,3480.0,55,Yes,3,27,Yes,Yes,0
No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2097.0,46,No,0,14,No,No,0
Yes,68.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Two year,No,Mobile Banking,2853.0,31,Yes,3,18,Yes,Yes,0
Yes,40.0,No,No,DSL,Yes,No,Yes,No,Yes,One year,No,eSewa,1207.5,62,No,0,57,Yes,Yes,0
Yes,31.0,Yes,Yes,No,No,No,No,No,No,Two year,No,eSewa,772.5,26,Yes,7,0,No,No,0
Yes,33.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mobile Banking,3160.5,73,No,0,19,No,Yes,0
No,55.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Yes,Cash,3408.0,72,Yes,7,21,Yes,Yes,0
Yes,68.0,Yes,Yes,No,No,No,No,No,No,Two year,Yes,Mobile Banking,720.0,60,Yes,8,0,No,No,0
Yes,12.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mobile Banking,582.0,48,Yes,0,0,No,No,0
No,71.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mobile Banking,2583.0,39,Yes,7,6,Yes,Yes,0
No,40.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,eSewa,3079.5,42,No,0,29,No,Yes,0
Yes,64.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,One year,Yes,Cash,2785.5,21,Yes,8,69,No,Yes,0
No,53.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,One year,No,Mobile Banking,2932.5,44,Yes,6,17,Yes,Yes,0
No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),2938.5,43,Yes,1,3,No,Yes,0
No,46.0,Yes,No,No,No,No,No,No,No,Two year,No,Cash,598.5,51,No,0,0,No,No,0
No,40.0,Yes,Yes,No,No,No,No,No,No,Two year,Yes,eSewa,738.0,27,No,0,0,No,No,0
No,12.0,No,No,DSL,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mobile Banking,1528.5,45,No,0,9,Yes,Yes,0
No,9.0,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,No,Cash,2268.0,58,No,0,6,No,Yes,0
Yes,51.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Cash,2422.5,40,Yes,9,27,Yes,Yes,0
Yes,49.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),2712.0,62,Yes,10,20,No,Yes,0
No,56.0,Yes,No,DSL,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),1807.5,32,No,0,22,Yes,Yes,0
No,4.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Cash,606.0,29,No,0,0,No,No,0
No,20.0,Yes,No,DSL,Yes,Yes,No,No,Yes,One year,Yes,eSewa,1924.5,45,Yes,3,18,Yes,No,0
Yes,26.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),607.5,41,Yes,4,0,No,No,0
No,51.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,2970.0,34,No,0,2,No,Yes,0
No,4.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,eSewa,2409.0,26,No,0,51,No,Yes,0
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),586.5,30,No,0,0,No,No,0
Yes,27.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Month-to-month,No,Cash,3022.5,39,Yes,0,15,Yes,Yes,0
No,12.0,Yes,No,DSL,No,No,Yes,No,Yes,Month-to-month,Yes,eSewa,1612.5,53,No,0,3,Yes,Yes,0
Yes,34.0,Yes,Yes,No,No,No,No,No,No,One year,Yes,Credit card (automatic),768.0,57,Yes,6,0,No,No,0
No,24.0,Yes,Yes,DSL,Yes,No,No,No,Yes,One year,Yes,Cash,1750.5,50,Yes,5,4,Yes,Yes,0
No,14.0,No,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,Cash,1390.5,71,No,0,5,No,Yes,0
No,59.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,No,Cash,3412.5,34,Yes,9,19,Yes,Yes,0
No,3.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,No,Cash,2712.0,22,No,0,73,No,Yes,0
Yes,65.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,No,Cash,3279.0,22,Yes,4,47,Yes,Yes,0
Yes,59.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),2709.0,50,Yes,5,24,Yes,Yes,0
Yes,72.0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1957.5,24,Yes,9,51,Yes,No,0
No,3.0,Yes,No,DSL,No,Yes,No,No,Yes,Month-to-month,No,eSewa,1819.5,43,No,0,11,Yes,Yes,0
Yes,19.0,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),723.0,62,No,0,0,No,No,0
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,585.0,54,No,0,0,No,No,0
No,24.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Yes,Cash,2578.5,60,No,0,24,Yes,Yes,0
No,57.0,Yes,No,DSL,No,No,No,Yes,Yes,One year,Yes,Cash,1605.0,78,No,0,24,Yes,Yes,0
No,72.0,Yes,Yes,No,No,No,No,No,No,Two year,No,Credit card (automatic),763.5,39,No,0,0,No,No,0
No,67.0,Yes,No,No,No,No,No,No,No,Two year,No,Mobile Banking,615.0,24,No,0,0,No,No,0
Yes,52.0,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),625.5,47,Yes,2,0,No,No,0
Yes,71.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),2697.0,57,Yes,6,27,Yes,Yes,0
No,26.0,Yes,Yes,No,No,No,No,No,No,One year,No,eSewa,780.0,56,Yes,7,0,No,No,0
No,35.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Yes,eSewa,3396.0,49,No,0,8,Yes,Yes,0
Yes,55.0,Yes,No,Fiber optic,No,No,No,No,No,Two year,Yes,Credit card (automatic),2071.5,52,Yes,3,17,No,Yes,0
Yes,33.0,Yes,No,No,No,No,No,No,No,Two year,No,eSewa,603.0,61,Yes,2,0,No,No,0
No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Two year,Yes,Cash,3289.5,20,Yes,2,73,No,No,0
Yes,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,576.0,37,No,0,0,No,No,0
No,37.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,No,Cash,2700.0,66,Yes,8,19,Yes,Yes,0
No,12.0,No,No,DSL,No,No,Yes,No,Yes,Month-to-month,No,eSewa,1020.0,35,No,0,6,Yes,Yes,0
Yes,1.0,Yes,No,No,No,No,No,No,No,One year,No,eSewa,612.0,27,Yes,3,0,No,No,0
No,62.0,No,No,DSL,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),1158.0,56,Yes,8,29,Yes,Yes,0
No,1.0,No,No,DSL,No,No,No,No,No,Month-to-month,No,Mobile Banking,757.5,40,No,0,15,No,No,0
No,18.0,Yes,Yes,DSL,Yes,No,No,Yes,No,Month-to-month,Yes,eSewa,1818.0,64,No,0,9,No,Yes,0
No,2.0,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Cash,2242.5,19,No,0,52,No,Yes,0
Yes,19.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,618.0,43,Yes,6,0,No,No,0
No,9.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,612.0,36,No,0,0,No,No,0
No,27.0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,One year,No,Cash,2451.0,58,No,0,4,Yes,Yes,0
No,24.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,609.0,78,No,0,0,No,No,0
No,11.0,Yes,No,No,No,No,No,No,No,One year,No,eSewa,600.0,31,No,0,0,No,No,0
No,1.0,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,eSewa,750.0,41,No,0,0,No,No,0
Yes,38.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,eSewa,2413.5,76,No,0,27,No,Yes,0
Yes,9.0,Yes,No,No,No,No,No,No,No,Two year,No,eSewa,592.5,45,Yes,6,0,No,No,0
Yes,54.0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),1969.5,25,Yes,1,52,Yes,Yes,0
No,29.0,Yes,Yes,DSL,No,Yes,No,No,No,One year,Yes,Credit card (automatic),2130.0,47,No,0,4,No,Yes,0
No,44.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2676.0,72,Yes,6,30,No,Yes,0
Yes,59.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Cash,2602.5,21,Yes,4,73,Yes,No,0
Yes,18.0,Yes,No,DSL,Yes,No,Yes,No,Yes,One year,Yes,eSewa,1845.0,22,Yes,7,51,Yes,Yes,0
No,67.0,Yes,Yes,No,No,No,No,No,No,Two year,No,Credit card (automatic),753.0,73,No,0,0,No,No,0
Yes,33.0,No,No,DSL,Yes,No,No,No,Yes,One year,No,Credit card (automatic),1021.5,64,No,0,12,Yes,Yes,0
No,5.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,598.5,31,No,0,0,No,No,0
No,2.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,598.5,33,No,0,0,No,No,0
